ID,name,strength,freq,category
1,adiabatic quantum computing,77,13,Sub-Domain Terms
2,artificial intelligence,76,20,Generic Terms
3,blind quantum computing,52,11,Sub-Domain Terms
4,computational complexity,71,14,Generic Terms
5,cryogenic temperature,102,23,Use Cases
6,deep learning,156,20,Generic Terms
7,distributed quantum computing,97,14,Sub-Domain Terms
8,electronic structure,165,22,Use Cases
9,genetic algorithm,73,16,Use Cases
10,image processing,56,11,Use Cases
11,internet of things,33,14,Use Cases
12,machine learning,730,86,Generic Terms
13,neural networks,297,34,Generic Terms
14,particle swarm optimization,66,12,Generic Terms
15,post-quantum cryptography,59,11,Use Cases
16,quantum algorithm,857,117,Sub-Domain Terms
17,quantum algorithms,758,96,Sub-Domain Terms
18,quantum annealing,77,20,Sub-Domain Terms
19,quantum chemistry,229,27,Sub-Domain Terms
20,quantum circuit,807,105,Sub-Domain Terms
21,quantum circuits,615,77,Sub-Domain Terms
22,quantum communication,297,51,Sub-Domain Terms
23,quantum communications,72,11,Sub-Domain Terms
24,quantum computation,729,112,Core Terms
25,quantum computer,2005,292,Core Terms
26,quantum computers,1488,209,Core Terms
27,quantum computing,3919,840,Core Terms
28,quantum control,121,20,Sub-Domain Terms
29,quantum cryptography,135,28,Sub-Domain Terms
30,quantum dots,188,31,Sub-Domain Terms
31,quantum entanglement,74,12,Sub-Domain Terms
32,quantum error correction,336,37,Sub-Domain Terms
33,quantum information,879,127,Sub-Domain Terms
34,quantum information processing,466,59,Sub-Domain Terms
35,quantum information science,79,10,Sub-Domain Terms
36,quantum key distribution,202,32,Sub-Domain Terms
37,quantum machine learning,371,37,Sub-Domain Terms
38,quantum mechanics,228,38,Sub-Domain Terms
39,quantum metrology,74,13,Sub-Domain Terms
40,quantum network,226,34,Sub-Domain Terms
41,quantum networks,156,23,Sub-Domain Terms
42,quantum neural network,154,15,Sub-Domain Terms
43,quantum neural networks,120,11,Sub-Domain Terms
44,quantum optics,69,14,Sub-Domain Terms
45,quantum physics,136,22,Sub-Domain Terms
46,quantum processor,277,36,Sub-Domain Terms
47,quantum programming,73,11,Sub-Domain Terms
48,quantum sensing,48,10,Sub-Domain Terms
49,quantum simulation,360,51,Core Terms
50,quantum software,58,10,Core Terms
51,quantum supremacy,119,16,Core Terms
52,quantum technologies,363,48,Core Terms
53,quantum technology,65,13,Core Terms
54,quantum walk,67,13,Sub-Domain Terms
55,quantum walks,56,11,Sub-Domain Terms
56,semiconductor quantum dot,95,12,Use Cases
57,superconducting qubits,182,22,Sub-Domain Terms
58,surface code,184,23,Sub-Domain Terms
59,topological insulator,44,13,Use Cases
60,topological quantum computing,133,30,Sub-Domain Terms
61,trapped ions,89,13,Sub-Domain Terms
62,variational algorithms,90,11,Sub-Domain Terms
63,variational quantum eigensolver,220,22,Generic Terms
64,adiabatic quantum,125,20,Sub-Domain Terms
65,approximate optimization,105,11,Sub-Domain Terms
66,blind quantum,58,12,Generic Terms
67,boson sampling,69,11,Sub-Domain Terms
68,bound states,76,16,Sub-Domain Terms
69,classical computing,206,28,Sub-Domain Terms
70,computing applications,120,24,Generic Terms
71,computing system,128,19,Generic Terms
72,computing systems,108,16,Generic Terms
73,convolutional neural,108,12,Generic Terms
74,convolutional neural network,108,12,Generic Terms
75,cryogenic temperatures,93,20,Sub-Domain Terms
76,distributed quantum,106,15,Sub-Domain Terms
77,efficient quantum,132,19,Sub-Domain Terms
78,energy physics,80,10,Generic Terms
79,entangled photons,86,13,Sub-Domain Terms
80,error correction,449,56,Sub-Domain Terms
81,experimental realization,94,13,Generic Terms
82,fault-tolerant quantum,426,55,Sub-Domain Terms
83,fault-tolerant quantum computing,200,30,Sub-Domain Terms
84,hilbert space,174,22,Generic Terms
85,hybrid quantum,228,28,Generic Terms
86,hybrid quantum-classical,141,16,Generic Terms
87,information processing,532,71,Sub-Domain Terms
88,integrated quantum,72,10,Use Cases
89,intermediate-scale quantum,399,39,Sub-Domain Terms
90,intermediate-scale quantum devices,115,10,Sub-Domain Terms
91,josephson junctions,41,11,Use Cases
92,large-scale quantum,181,26,Use Cases
93,learning algorithms,182,20,Generic Terms
94,learning models,78,10,Generic Terms
95,light sources,68,13,Use Cases
96,logic gates,78,13,Use Cases
97,machine learning algorithms,132,14,Generic Terms
98,majorana bound,64,12,Use Cases
99,majorana bound states,59,11,Use Cases
100,monte carlo,69,15,Generic Terms
101,near-term quantum,322,40,Generic Terms
102,neural network,366,48,Generic Terms
103,noisy intermediate-scale,351,33,Sub-Domain Terms
104,noisy intermediate-scale quantum,351,33,Sub-Domain Terms
